Code,1-Yield_C_Mean,2-BD_C_Mean,3-OC_C_Mean,4-N_C_Mean,5-Aggre_C_Mean,6-Infiltration_C_Mean,7-Ksat_C_Mean,8-Erosion_C_Mean,9-Runoff_C_Mean,10-Leaching_C_Mean,11-Weed_C_Mean,12-MBC_C_Mean,13-MBN_C_Mean
Temperate_CSW_Legume_Coarse,8.585360403,-1.736721547,6.963635945,23.30664574,-9.338845005,87.57852993,147.4289027,-78.40193966,-73.28654419,-14.58227307,-92.19449395,-2.114738524,28.14456809
Temperate_CSW_Legume_Fine,8.585360403,-5.562341211,36.62785861,38.88955369,41.38459218,67.48662114,147.4289027,-78.40193966,-73.28654419,-61.71054735,-92.19449395,16.76704658,20.05421216
Temperate_CSW_Legume_Medium,8.585360403,0.053735037,9.943421773,17.76675705,33.96588454,129.0155316,147.4289027,-78.40193966,-73.28654419,-32.05016109,-92.19449395,17.29495624,110.3772966
Temperate_CSW_MTT_Coarse,1.307477418,-1.340675835,9.036219183,19.0057258,17.87894253,79.54900938,59.50661399,-78.40193966,-73.28654419,-14.58227307,-26.9811157,35.15148159,25.69551282
Temperate_CSW_MTT_Fine,1.307477418,-4.359221671,20.67317114,27.12326615,38.30692298,79.54900938,59.50661399,-78.40193966,-73.28654419,-61.71054735,-26.9811157,60.37009122,17.85239718
Temperate_CSW_MTT_Medium,1.307477418,-0.085960077,9.51083035,0.805902091,32.24611406,79.54900938,59.50661399,-78.40193966,-73.28654419,-43.53955728,-26.9811157,38.40014344,22.70008752
Temperate_CSW_OtherCC_Coarse,-8.097877525,-2.220951046,16.01128899,4.61860108,-9.866385219,36.85229279,66.70451392,-78.40193966,-73.28654419,-30.80461275,126.5911993,-11.39764258,6.230436949
Temperate_CSW_OtherCC_Fine,-8.097877525,-1.462245122,-17.2720036,47.54124131,38.30692298,36.85229279,66.70451392,-78.40193966,-73.28654419,-68.30461275,126.5911993,3.709621562,-34.66315717
Temperate_CSW_OtherCC_Medium,-8.097877525,-0.409734304,21.89596486,-8.818589039,55.09511878,36.85229279,66.70451392,-78.40193966,-73.28654419,-69.6320639,126.5911993,52.17344948,53.72183674
Temperate_Other_Grass_Coarse,-3.440047824,-0.607154223,4.645017928,5.421264589,8.171736441,81.22101984,25.49567237,-52.16734768,-38.10148569,-15.17357259,-33.83107756,2.088982448,11.26418799
Temperate_Other_Grass_Fine,3.760423905,-1.375633649,3.887834088,6.40490041,13.10253229,43.0970714,25.49567237,-52.16734768,-38.10148569,-51.63794608,-33.83107756,22.95315153,36.3971849
Temperate_Other_Grass_Medium,-2.331847305,-3.916717299,2.133872485,-12.24591331,23.34413747,89.86325097,25.49567237,-75.21525722,155.1109384,-77.73042931,-33.83107756,-4.695661417,68.35401359
Temperate_Other_Legume_Coarse,15.96752084,-0.627724281,5.969175906,4.778186135,23.36781487,87.57852993,133.1720878,-48.49917848,-74.09042473,-14.58227307,-92.19449395,-2.114738524,28.14456809
Temperate_Other_Legume_Fine,5.056133137,-5.562341211,44.03519699,51.01797817,50.58952368,63.17059863,133.1720878,-48.49917848,-78.30675883,-61.71054735,-92.19449395,16.76704658,20.05421216
Temperate_Other_Legume_Medium,4.509731337,-3.415414476,8.557441276,5.602234502,34.02891152,132.0966956,133.1720878,-48.49917848,-73.54974233,-32.05016109,-92.19449395,17.19389201,110.3772966
Temperate_Other_MTT_Coarse,-6.285107407,-1.183920261,6.463936875,6.3078573,10.80007838,79.54900938,138.7286129,-47.74592987,-45.74412745,-14.58227307,-26.9811157,53.96188206,25.7709094
Temperate_Other_MTT_Fine,-6.693964523,-3.654630732,15.76488375,21.64926386,38.30692298,79.54900938,138.7286129,-47.74592987,-45.74412745,-61.71054735,-26.9811157,60.37009122,17.85239718
Temperate_Other_MTT_Medium,3.677119513,-0.081843528,10.21382932,0.853856929,32.24611406,79.54900938,138.7286129,-47.74592987,-45.74412745,-43.53955728,-26.9811157,38.50597161,22.70008752
Temperate_Other_OtherCC_Coarse,-17.26893165,-2.023102454,15.97707396,4.633935351,-9.865910793,36.85229279,66.70451392,-48.49917848,-37.6922601,-30.80461275,24.07076362,-11.22076799,6.482087345
Temperate_Other_OtherCC_Fine,6.518358343,2.908060935,-13.4620214,2.674120902,38.30692298,36.85229279,66.70451392,-48.49917848,-37.6922601,-68.30461275,24.07076362,3.709621562,-34.66315717
Temperate_Other_OtherCC_Medium,1.296278239,-6.330912015,28.21607508,8.082376587,55.81070245,36.85229279,66.70451392,-48.49917848,-37.6922601,-69.6320639,24.29685006,52.17344948,53.72183674
Temperate_Soybean_Grass_Coarse,-5.30021938,0.850607692,7.820410725,2.715360886,8.171736441,81.22101984,25.49567237,-88.2321316,-84.42849729,-15.17357259,-33.83107756,5.963760664,13.92696065
Temperate_Soybean_Grass_Fine,-7.751502511,-1.357387314,-0.482529006,7.802167548,13.80510209,43.0970714,25.49567237,-88.2321316,-84.42849729,-51.63794608,-33.83107756,22.89627052,36.3971849
Temperate_Soybean_Grass_Medium,-12.37906889,0,4.730809236,-28.51129022,23.34413747,89.86325097,25.49567237,-88.32134615,-84.31792575,54.6977332,-33.83107756,9.317651183,44.63664561
